LSOA11,PROCODE3,EVENT_COUNT
E01005116,R0A,5748
E01000220,RAL,5747
E01016519,RDU,5744
E01032011,RNZ,5738
E01022081,RGT,5732
E01008291,RTD,5723
E01030035,RGQ,5722
E01003606,R1H,5722
E01025171,RTX,5719
E01018976,REF,5708
E01017966,RGT,5704
E01027594,RCB,5703
E01008811,RLN,5700
E01007892,RHQ,5695
E01019957,RH8,5693
E01007871,RHQ,5692
E01030120,RGR,5691
E01020039,RH8,5690
E01018360,RJR,5689
E01029994,RGQ,5688
E01008812,RLN,5687
E01016448,RDU,5684
E01029257,RBA,5683
E01030212,RGQ,5683
E01030795,RDU,5682
E01008804,RLN,5680
E01029967,RGQ,5674
E01007904,RHQ,5674
E01020035,RH8,5672
E01033268,RHQ,5672
E01030138,RGR,5672
E01004252,R1H,5670
E01020041,RH8,5669
E01030173,RGQ,5667
E01033216,RJE,5665
E01018266,RGT,5664
E01032512,RYJ,5660
E01022892,RDU,5660
E01026011,RWD,5658
E01000551,RYJ,5657
E01019773,RFS,5657
E01013370,RCB,5654
E01008133,RHQ,5654
E01005117,R0A,5654
E01010449,RL4,5651
E01019007,REF,5651
E01008390,RTD,5648
E01001117,RJ6,5644
E01005180,R0A,5640
E01007848,RHQ,5639
E01008302,RTD,5637
E01008008,RHQ,5634
E01030207,RGQ,5632
E01033585,R1H,5631
E01005295,R0A,5625
E01030661,RTK,5623
E01030646,RTK,5623
E01007943,RHQ,5622
E01013409,RCB,5621
E01007953,RHQ,5621
E01027785,RCB,5619
E01016743,RD8,5616
E01018377,RJR,5613
E01018382,RJR,5611
E01005246,R0A,5609
E01026588,RGP,5608
E01030163,RGQ,5608
E01030194,RGQ,5606
E01030167,RGQ,5601
E01031454,RYR,5599
E01019947,RH8,5599
E01008513,RTD,5597
E01022873,RDU,5596
E01031952,RD1,5593
E01026422,RM1,5593
E01008007,RHQ,5591
E01027909,RCB,5589
E01032805,RJZ,5586
E01019389,RTX,5585
E01001045,RJ6,5584
E01033119,RGT,5584
E01008445,RTD,5579
E01008761,RLN,5577
E01008732,RLN,5575
E01008389,RTD,5574
E01020089,RBZ,5572
E01007945,RHQ,5572
E01032892,RKB,5571
E01029199,RA4,5571
E01002532,RAS,5567
E01029966,RGQ,5565
E01005062,R0A,5564
E01031460,RYR,5564
E01024148,RN7,5556
E01008459,RTD,5552
E01008015,RHQ,5550
E01024636,RVV,5549
E01032797,RGT,5548
E01029911,RGQ,5547
E01027894,RCB,5547
E01029963,RGQ,5547
E01032354,RWP,5543
E01006646,RQ6,5542
E01008140,RHQ,5541
E01026744,RM1,5540
E01008301,RTD,5539
E01018011,RGT,5534
E01026220,RWD,5531
E01008082,RHQ,5529
E01033538,RM1,5524
E01029878,RGQ,5523
E01032628,RH8,5522
E01032598,RWE,5522
E01013373,RCB,5521
E01009746,RNA,5518
E01005181,R0A,5511
E01004123,RVR,5506
E01008296,RTD,5503
E01031802,RYR,5502
E01000661,RJZ,5501
E01020015,RH8,5500
E01032722,RJ1,5497
E01008135,RHQ,5496
E01005200,R0A,5490
E01011361,RR8,5487
E01031388,RYR,5487
E01033257,RJE,5483
E01013558,RTG,5476
E01030186,RGQ,5472
E01020066,RH8,5469
E01026019,RWD,5468
E01013445,RCB,5467
E01007967,RHQ,5464
E01028525,RTH,5463
E01033714,RTD,5462
E01005234,R0A,5461
E01018984,REF,5457
E01030759,RDU,5457
E01013426,RCB,5453
E01010054,RXK,5448
E01032884,RHU,5446
E01030160,RGQ,5440
E01033392,RK5,5437
E01030006,RGQ,5436
E01020749,RLN,5435
E01008406,RTD,5432
E01016710,RD8,5429
E01031329,RJC,5427
E01013376,RCB,5425
E01008333,RTD,5425
E01006799,RQ6,5425
E01018231,RGT,5424
E01030010,RGQ,5419
E01023657,RGT,5418
E01013406,RCB,5417
E01031458,RYR,5415
E01013352,RCB,5411
E01005063,R0A,5409
E01030181,RGQ,5408
E01027276,RD8,5406
E01029926,RGR,5405
E01004129,RVR,5405
E01000890,RAL,5404
E01022496,RN5,5402
E01033505,RD8,5401
E01013362,RCB,5401
E01001859,RYJ,5401
E01005233,R0A,5399
E01003482,R1H,5397
E01008058,RHQ,5390
E01007996,RHQ,5389
E01012408,RWW,5388
E01027217,RNS,5387
E01008017,RHQ,5381
E01007885,RHQ,5381
E01032550,RFF,5379
E01010558,RL4,5379
E01032635,RBA,5378
E01033048,RGR,5377
E01019393,RTX,5377
E01007874,RHQ,5376
E01001955,RYJ,5375
E01005209,R0A,5374
E01007886,RHQ,5372
E01026094,RWD,5370
E01020277,RBZ,5370
E01014268,RJE,5370
E01007975,RHQ,5367
E01014141,RXW,5367
E01026082,RWD,5366
E01023539,RAL,5366
E01020094,RBZ,5365
E01025752,RWE,5364
E01019359,RTX,5363
E01028546,RTH,5363
E01021495,RAJ,5357
E01020110,RBZ,5356
E01026743,RM1,5352
E01030082,RGQ,5349
E01023660,RGT,5348
E01030711,RTK,5347
E01029883,RGQ,5338
E01025123,RTX,5335
E01008011,RHQ,5334
E01031751,RXH,5332
E01029885,RGR,5328
E01001429,RAP,5326
E01001043,RJ6,5323
E01029898,RGR,5323
E01013420,RCB,5323
E01005244,R0A,5321
E01000023,RF4,5321
E01019472,RTG,5320
E01008101,RHQ,5319
E01023121,RDU,5319
E01019382,RTX,5316
E01010414,RL4,5314
E01017963,RGT,5311
E01007910,RHQ,5308
E01016465,RDU,5307
E01013357,RCB,5304
E01030100,RGR,5304
E01007873,RHQ,5301
E01007857,RHQ,5299
E01033637,RXK,5299
E01028532,RTH,5298
E01024486,RVV,5297
E01030188,RGQ,5297
E01008399,RTD,5297
E01023125,RDU,5292
E01009749,RNA,5290
E01004042,RJ1,5288
E01007833,RHQ,5286
E01008425,RTD,5285
E01018314,RJR,5284
E01007881,RHQ,5283
E01008388,RTD,5280
E01024142,RN7,5280
E01003507,R1H,5278
E01014251,RJE,5274
E01008803,RLN,5272
E01008708,RLN,5267
E01032470,RWP,5266
E01007948,RHQ,5264
E01013607,RWE,5264
E01019352,RTX,5263
E01028241,RK5,5262
E01017516,RC1,5260
E01007926,RHQ,5260
E01007853,RHQ,5256
E01018317,RJR,5256
E01008730,RLN,5255
E01008377,RTD,5255
E01028577,RTH,5255
E01008821,RLN,5254
E01020229,RH8,5254
E01013355,RCB,5251
E01013404,RCB,5250
E01013383,RCB,5248
E01033633,RRK,5246
E01009619,RKB,5245
E01010521,RL4,5245
E01018264,RGT,5244
E01003568,R1H,5242
E01031807,RYR,5242
E01004118,RVR,5235
E01020056,RH8,5234
E01032851,RN5,5234
E01018281,RGT,5234
E01026766,RM1,5233
E01013363,RCB,5232
E01027834,RCB,5231
E01009345,RXK,5231
E01018260,RGT,5230
E01019180,RTX,5229
E01026740,RM1,5229
E01026773,RM1,5227
E01026030,RWD,5224
E01013366,RCB,5224
E01004722,RYJ,5224
E01030033,RGQ,5223
E01027829,RCB,5223
E01008432,RTD,5220
E01003499,R1H,5216
E01009194,RR1,5216
E01030155,RGQ,5215
E01005183,R0A,5214
E01018371,RJR,5212
E01019900,RH8,5210
E01020132,RBZ,5209
E01030090,RGQ,5207
E01006160,R0A,5207
E01030099,RGR,5206
E01013407,RCB,5206
E01029245,RA4,5204
E01004309,R1H,5203
E01004286,R1H,5202
E01007929,RHQ,5202
E01008000,RHQ,5200
E01004068,RJZ,5200
E01030150,RGR,5199
E01020328,RH8,5197
E01018981,REF,5195
E01029988,RGQ,5194
E01008757,RLN,5192
E01021984,RDE,5191
E01020097,RBZ,5187
E01004028,RJ1,5186
E01007928,RHQ,5184
E01023775,RWH,5181
E01007883,RHQ,5180
E01027830,RCB,5178
E01007855,RHQ,5177
E01019958,RH8,5174
E01027900,RCB,5174
E01002380,RF4,5173
E01030730,RTK,5171
E01027825,RCB,5170
E01032930,RJR,5169
E01009889,RNA,5168
E01008441,RTD,5168
E01003978,RJ1,5164
E01031049,RLT,5164
E01016459,RDU,5163
E01018299,RGT,5162
E01001875,RYJ,5162
E01020136,RBZ,5162
E01008756,RLN,5161
E01005108,R0A,5161
E01030057,RGQ,5161
E01010472,RL4,5160
E01032086,RD1,5160
E01007921,RHQ,5157
E01019942,RH8,5156
E01020107,RBZ,5154
E01030142,RGR,5151
E01032968,RKB,5150
E01029901,RGR,5149
E01018867,REF,5148
E01018990,REF,5148
E01009991,RXK,5147
E01027833,RCB,5146
E01020299,RBZ,5145
E01017948,RGT,5143
E01023758,RWH,5143
E01007923,RHQ,5142
E01005235,R0A,5142
E01007870,RHQ,5140
E01018367,RJR,5140
E01026769,RM1,5139
E01005195,R0A,5139
E01008114,RHQ,5139
E01014603,RVJ,5138
E01010455,RL4,5137
E01008141,RHQ,5137
E01027622,RCB,5136
E01030003,RGQ,5135
E01008733,RLN,5135
E01005319,R0A,5133
E01031268,RJC,5130
E01008769,RLN,5130
E01031164,RKB,5129
E01033645,RRK,5129
E01027774,RCB,5128
E01008345,RTD,5128
E01020578,RBD,5125
E01016513,RDU,5125
E01003573,R1H,5123
E01005087,R0A,5122
E01004610,RJ7,5122
E01018852,REF,5121
E01000105,RF4,5120
E01022008,RDE,5120
E01012940,RCB,5119
E01030740,RTK,5118
E01005230,R0A,5117
E01010101,RXK,5117
E01008451,RTD,5116
E01000972,RAL,5116
E01031230,RJC,5115
E01018824,REF,5114
E01030024,RGQ,5112
E01001244,RYJ,5112
E01033258,RW6,5109
E01000250,RAL,5108
E01020083,RH8,5108
E01018526,RJR,5107
E01020047,RH8,5104
E01013377,RCB,5103
E01005241,R0A,5102
E01026781,RM1,5100
E01030110,RGT,5099
E01029234,RA4,5098
E01007912,RHQ,5098
E01030779,RDU,5097
E01031285,RJC,5097
E01032531,RKB,5097
E01029725,RJE,5096
E01020284,RBZ,5093
E01031784,RYR,5092
E01007834,RHQ,5092
E01029892,RGQ,5091
E01030154,RGQ,5091
E01027818,RCB,5091
E01029973,RGQ,5089
E01033509,RD8,5089
E01021977,RDE,5087
E01006977,REM,5086
E01013347,RCB,5086
